"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 13 14:14:43 UTC 2023","Mon Mar 13 14:14:43 UTC 2023","0","","Support Center search: Searching for empty results","","Support Center search: Searching for empty results","","",""
"passed","Mon Mar 13 14:13:04 UTC 2023","Mon Mar 13 14:13:05 UTC 2023","1357","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:13:41 UTC 2023","Mon Mar 13 14:13:41 UTC 2023","0","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","","",""
"passed","Mon Mar 13 14:13:49 UTC 2023","Mon Mar 13 14:13:49 UTC 2023","645","","Partnership message: Accepting cookies","","Partnership message: Accepting cookies","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:14:25 UTC 2023","Mon Mar 13 14:14:27 UTC 2023","2104","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","When I sign up with valid credentials","When I sign up with valid credentials",""
"passed","Mon Mar 13 14:14:07 UTC 2023","Mon Mar 13 14:14:10 UTC 2023","2369","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","Given I open the site ""/sign-up""","Given I open the site ""/sign-up""",""
"passed","Mon Mar 13 14:13:01 UTC 2023","Mon Mar 13 14:13:04 UTC 2023","2989","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","When I fill out the Contact Us message form with valid credentials","When I fill out the Contact Us message form with valid credentials",""
"passed","Mon Mar 13 14:13:36 UTC 2023","Mon Mar 13 14:13:38 UTC 2023","1303","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:13:26 UTC 2023","Mon Mar 13 14:13:27 UTC 2023","1037","","Login: Login with valid credentials","","Login: Login with valid credentials","When I login with valid credentials","When I login with valid credentials",""
"passed","Mon Mar 13 14:12:35 UTC 2023","Mon Mar 13 14:12:37 UTC 2023","1335","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:12:41 UTC 2023","Mon Mar 13 14:12:41 UTC 2023","0","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","","",""
"passed","Mon Mar 13 14:14:04 UTC 2023","Mon Mar 13 14:14:07 UTC 2023","2845","","Sign up: Accepting cookies","","Sign up: Accepting cookies","Given I open the site ""/sign-up""","Given I open the site ""/sign-up""",""
"passed","Mon Mar 13 14:14:56 UTC 2023","Mon Mar 13 14:14:58 UTC 2023","2152","","Support Center search: Searching for results","","Support Center search: Searching for results","When I enter ""programming"" in the Support Center search field","When I enter ""programming"" in the Support Center search field",""
"passed","Mon Mar 13 14:14:01 UTC 2023","Mon Mar 13 14:14:01 UTC 2023","159","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","Then Partnership message sended","Then Partnership message sended",""
"passed","Mon Mar 13 14:13:09 UTC 2023","Mon Mar 13 14:13:09 UTC 2023","45","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","Then Contact Us message not sended due to invalid credentials","Then Contact Us message not sended due to invalid credentials",""
"passed","Mon Mar 13 14:13:29 UTC 2023","Mon Mar 13 14:13:33 UTC 2023","3961","","Login: Login with invalid credentials","","Login: Login with invalid credentials","Given I open the site ""https://portal.telnyx.com/""","Given I open the site ""https://portal.telnyx.com/""",""
"passed","Mon Mar 13 14:13:10 UTC 2023","Mon Mar 13 14:13:11 UTC 2023","63","","Login: Login with valid credentials","","Login: Login with valid credentials","Then I logged in","Then I logged in",""
"passed","Mon Mar 13 14:13:04 UTC 2023","Mon Mar 13 14:13:04 UTC 2023","1","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","","",""
"passed","Mon Mar 13 14:14:58 UTC 2023","Mon Mar 13 14:14:58 UTC 2023","0","","Support Center search: Searching for results","","Support Center search: Searching for results","","",""
"passed","Mon Mar 13 14:13:10 UTC 2023","Mon Mar 13 14:13:10 UTC 2023","953","","Login: Login with valid credentials","","Login: Login with valid credentials","When I login with valid credentials","When I login with valid credentials",""
"passed","Mon Mar 13 14:15:01 UTC 2023","Mon Mar 13 14:15:01 UTC 2023","174","","Support Center search: Searching for empty results","","Support Center search: Searching for empty results","When I enter ""blablabla"" in the Support Center search field","When I enter ""blablabla"" in the Support Center search field",""
"passed","Mon Mar 13 14:13:57 UTC 2023","Mon Mar 13 14:13:57 UTC 2023","0","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","","",""
"passed","Mon Mar 13 14:13:44 UTC 2023","Mon Mar 13 14:13:44 UTC 2023","45","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","Then Partnership message not sended due to invalid credentials","Then Partnership message not sended due to invalid credentials",""
"passed","Mon Mar 13 14:12:35 UTC 2023","Mon Mar 13 14:12:35 UTC 2023","69","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","Then Contact Us message sended","Then Contact Us message sended",""
"passed","Mon Mar 13 14:13:27 UTC 2023","Mon Mar 13 14:13:31 UTC 2023","4390","","Login: Login with invalid credentials","","Login: Login with invalid credentials","Given I open the site ""https://portal.telnyx.com/""","Given I open the site ""https://portal.telnyx.com/""",""
"passed","Mon Mar 13 14:13:59 UTC 2023","Mon Mar 13 14:14:02 UTC 2023","3235","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","When I fill out the Partnership message form with invalid credentials","When I fill out the Partnership message form with invalid credentials",""
"passed","Mon Mar 13 14:13:05 UTC 2023","Mon Mar 13 14:13:09 UTC 2023","3704","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","When I fill out the Contact Us message form with invalid credentials","When I fill out the Contact Us message form with invalid credentials",""
"passed","Mon Mar 13 14:14:22 UTC 2023","Mon Mar 13 14:14:22 UTC 2023","0","","Sign up: Accepting cookies","","Sign up: Accepting cookies","","",""
"passed","Mon Mar 13 14:14:19 UTC 2023","Mon Mar 13 14:14:21 UTC 2023","2592","","Sign up: Accepting cookies","","Sign up: Accepting cookies","Given I open the site ""/sign-up""","Given I open the site ""/sign-up""",""
"passed","Mon Mar 13 14:14:22 UTC 2023","Mon Mar 13 14:14:25 UTC 2023","2893","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","Given I open the site ""/sign-up""","Given I open the site ""/sign-up""",""
"passed","Mon Mar 13 14:14:37 UTC 2023","Mon Mar 13 14:14:39 UTC 2023","1651","","Support Center search: Searching for results","","Support Center search: Searching for results","When I enter ""programming"" in the Support Center search field","When I enter ""programming"" in the Support Center search field",""
"passed","Mon Mar 13 14:12:37 UTC 2023","Mon Mar 13 14:12:37 UTC 2023","1","","Contact Us message: Accepting cookies","","Contact Us message: Accepting cookies","","",""
"passed","Mon Mar 13 14:13:34 UTC 2023","Mon Mar 13 14:13:36 UTC 2023","1802","","Partnership message: Accepting cookies","","Partnership message: Accepting cookies","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:13:35 UTC 2023","Mon Mar 13 14:13:35 UTC 2023","26","","Login: Login with invalid credentials","","Login: Login with invalid credentials","Then I not logged in due to invalid credentials","Then I not logged in due to invalid credentials",""
"passed","Mon Mar 13 14:14:33 UTC 2023","Mon Mar 13 14:14:36 UTC 2023","2873","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","When I sign up with invalid credentials","When I sign up with invalid credentials",""
"passed","Mon Mar 13 14:14:36 UTC 2023","Mon Mar 13 14:14:36 UTC 2023","23","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","Then I not signed up due to invalid credentials","Then I not signed up due to invalid credentials",""
"passed","Mon Mar 13 14:14:49 UTC 2023","Mon Mar 13 14:14:56 UTC 2023","6794","","Support Center search: Searching for results","","Support Center search: Searching for results","Given I open the site ""https://support.telnyx.com/""","Given I open the site ""https://support.telnyx.com/""",""
"passed","Mon Mar 13 14:12:29 UTC 2023","Mon Mar 13 14:12:30 UTC 2023","806","","Contact Us message: Accepting cookies","","Contact Us message: Accepting cookies","Given I accept cookies","Given I accept cookies",""
"passed","Mon Mar 13 14:13:27 UTC 2023","Mon Mar 13 14:13:29 UTC 2023","1985","","Login: Login with valid credentials","","Login: Login with valid credentials","When I login with valid credentials","When I login with valid credentials",""
"passed","Mon Mar 13 14:13:50 UTC 2023","Mon Mar 13 14:13:52 UTC 2023","2072","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:14:27 UTC 2023","Mon Mar 13 14:14:27 UTC 2023","0","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","","",""
"passed","Mon Mar 13 14:13:19 UTC 2023","Mon Mar 13 14:13:26 UTC 2023","6545","","Login: Login with valid credentials","","Login: Login with valid credentials","Given I open the site ""https://portal.telnyx.com/""","Given I open the site ""https://portal.telnyx.com/""",""
"passed","Mon Mar 13 14:13:32 UTC 2023","Mon Mar 13 14:13:32 UTC 2023","0","","Login: Login with invalid credentials","","Login: Login with invalid credentials","","",""
"passed","Mon Mar 13 14:13:52 UTC 2023","Mon Mar 13 14:13:53 UTC 2023","1505","","Partnership message: Accepting cookies","","Partnership message: Accepting cookies","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:12:32 UTC 2023","Mon Mar 13 14:12:36 UTC 2023","3593","","Contact Us message: Accepting cookies","","Contact Us message: Accepting cookies","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:13:52 UTC 2023","Mon Mar 13 14:13:57 UTC 2023","5077","","Partnership message: Sending the Partnership message with valid credentials","","Partnership message: Sending the Partnership message with valid credentials","When I fill out the Partnership message form with valid credentials","When I fill out the Partnership message form with valid credentials",""
"passed","Mon Mar 13 14:13:14 UTC 2023","Mon Mar 13 14:13:14 UTC 2023","1","","Login: Login with invalid credentials","","Login: Login with invalid credentials","","",""
"passed","Mon Mar 13 14:12:43 UTC 2023","Mon Mar 13 14:12:43 UTC 2023","1","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","","",""
"passed","Mon Mar 13 14:12:43 UTC 2023","Mon Mar 13 14:12:44 UTC 2023","1038","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:13:04 UTC 2023","Mon Mar 13 14:13:04 UTC 2023","32","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","Then Contact Us message sended","Then Contact Us message sended",""
"passed","Mon Mar 13 14:14:01 UTC 2023","Mon Mar 13 14:14:03 UTC 2023","2205","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:14:11 UTC 2023","Mon Mar 13 14:14:11 UTC 2023","0","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","","",""
"passed","Mon Mar 13 14:14:11 UTC 2023","Mon Mar 13 14:14:11 UTC 2023","50","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","Then I signed up","Then I signed up",""
"passed","Mon Mar 13 14:14:08 UTC 2023","Mon Mar 13 14:14:08 UTC 2023","0","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","","",""
"passed","Mon Mar 13 14:14:02 UTC 2023","Mon Mar 13 14:14:02 UTC 2023","57","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","Then Partnership message not sended due to invalid credentials","Then Partnership message not sended due to invalid credentials",""
"passed","Mon Mar 13 14:12:37 UTC 2023","Mon Mar 13 14:12:41 UTC 2023","3839","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","When I fill out the Contact Us message form with invalid credentials","When I fill out the Contact Us message form with invalid credentials",""
"passed","Mon Mar 13 14:13:41 UTC 2023","Mon Mar 13 14:13:42 UTC 2023","902","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","Given I open the site ""/partnerships""","Given I open the site ""/partnerships""",""
"passed","Mon Mar 13 14:15:02 UTC 2023","Mon Mar 13 14:15:02 UTC 2023","47","","Support Center search: Searching for empty results","","Support Center search: Searching for empty results","Then Empty search results showed for ""blablabla""","Then Empty search results showed for ""blablabla""",""
"passed","Mon Mar 13 14:14:31 UTC 2023","Mon Mar 13 14:14:31 UTC 2023","56","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","Then I not signed up due to invalid credentials","Then I not signed up due to invalid credentials",""
"passed","Mon Mar 13 14:14:21 UTC 2023","Mon Mar 13 14:14:22 UTC 2023","783","","Sign up: Accepting cookies","","Sign up: Accepting cookies","Given I accept cookies","Given I accept cookies",""
"passed","Mon Mar 13 14:14:58 UTC 2023","Mon Mar 13 14:14:58 UTC 2023","0","","Support Center search: Searching for results","","Support Center search: Searching for results","","",""
"passed","Mon Mar 13 14:14:31 UTC 2023","Mon Mar 13 14:14:31 UTC 2023","24","","Sign up: Sign up with valid credentials","","Sign up: Sign up with valid credentials","Then I signed up","Then I signed up",""
"passed","Mon Mar 13 14:14:31 UTC 2023","Mon Mar 13 14:14:33 UTC 2023","1737","","Sign up: Sign up with invalid credentials","","Sign up: Sign up with invalid credentials","Given I open the site ""/sign-up""","Given I open the site ""/sign-up""",""
"passed","Mon Mar 13 14:13:09 UTC 2023","Mon Mar 13 14:13:09 UTC 2023","0","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","","",""
"passed","Mon Mar 13 14:12:30 UTC 2023","Mon Mar 13 14:12:31 UTC 2023","1293","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","Given I open the site ""/contact-us""","Given I open the site ""/contact-us""",""
"passed","Mon Mar 13 14:14:43 UTC 2023","Mon Mar 13 14:14:43 UTC 2023","23","","Support Center search: Searching for empty results","","Support Center search: Searching for empty results","Then Empty search results showed for ""blablabla""","Then Empty search results showed for ""blablabla""",""
"passed","Mon Mar 13 14:13:35 UTC 2023","Mon Mar 13 14:13:35 UTC 2023","0","","Login: Login with invalid credentials","","Login: Login with invalid credentials","","",""
"passed","Mon Mar 13 14:15:02 UTC 2023","Mon Mar 13 14:15:02 UTC 2023","0","","Support Center search: Searching for empty results","","Support Center search: Searching for empty results","","",""
"passed","Mon Mar 13 14:14:39 UTC 2023","Mon Mar 13 14:14:42 UTC 2023","3131","","Support Center search: Searching for empty results","","Support Center search: Searching for empty results","Given I open the site ""https://support.telnyx.com/""","Given I open the site ""https://support.telnyx.com/""",""
"passed","Mon Mar 13 14:14:03 UTC 2023","Mon Mar 13 14:14:08 UTC 2023","4594","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","When I fill out the Partnership message form with invalid credentials","When I fill out the Partnership message form with invalid credentials",""
"passed","Mon Mar 13 14:14:39 UTC 2023","Mon Mar 13 14:14:39 UTC 2023","55","","Support Center search: Searching for results","","Support Center search: Searching for results","Then Search results showed for ""programming""","Then Search results showed for ""programming""",""
"passed","Mon Mar 13 14:12:48 UTC 2023","Mon Mar 13 14:12:48 UTC 2023","16","","Contact Us message: Sending the Contact Us message with invalid credentials","","Contact Us message: Sending the Contact Us message with invalid credentials","Then Contact Us message not sended due to invalid credentials","Then Contact Us message not sended due to invalid credentials",""
"passed","Mon Mar 13 14:13:11 UTC 2023","Mon Mar 13 14:13:14 UTC 2023","3170","","Login: Login with invalid credentials","","Login: Login with invalid credentials","Given I open the site ""https://portal.telnyx.com/""","Given I open the site ""https://portal.telnyx.com/""",""
"passed","Mon Mar 13 14:12:43 UTC 2023","Mon Mar 13 14:12:43 UTC 2023","18","","Contact Us message: Sending the Contact Us message with valid credentials","","Contact Us message: Sending the Contact Us message with valid credentials","Then Contact Us message sended","Then Contact Us message sended",""
"passed","Mon Mar 13 14:13:33 UTC 2023","Mon Mar 13 14:13:35 UTC 2023","2099","","Login: Login with invalid credentials","","Login: Login with invalid credentials","When I login with invalid credentials","When I login with invalid credentials",""
"passed","Mon Mar 13 14:14:39 UTC 2023","Mon Mar 13 14:14:39 UTC 2023","1","","Support Center search: Searching for results","","Support Center search: Searching for results","","",""
"passed","Mon Mar 13 14:14:02 UTC 2023","Mon Mar 13 14:14:02 UTC 2023","0","","Partnership message: Sending the Partnership message with invalid credentials","","Partnership message: Sending the Partnership message with invalid credentials","","",""
